scenario_group,scenario_name,scenario_variant,variable,use_technology_fuel,country,model,unit,time_resolution,timestamp,value
cross202209,abroad-together,reference,electricity_supply_typical_day,fuel_cell_h2,CH,seseth,GW,typical-day,01.02.2050 00:00,0
cross202209,abroad-together,reference,electricity_supply_typical_day,fuel_cell_methane,CH,seseth,GW,typical-day,01.02.2050 00:00,0
cross202209,abroad-together,reference,electricity_supply_typical_day,hydro_dam,CH,seseth,GW,typical-day,01.02.2050 00:00,5.1280403
cross202209,abroad-together,reference,electricity_supply_typical_day,hydro_ror,CH,seseth,GW,typical-day,01.02.2050 00:00,1.6861691
cross202209,abroad-together,reference,electricity_supply_typical_day,spv_rooftop,CH,seseth,GW,typical-day,01.02.2050 00:00,0
cross202209,abroad-together,reference,electricity_supply_typical_day,spv_facade,CH,seseth,GW,typical-day,01.02.2050 00:00,0
cross202209,abroad-together,reference,electricity_supply_typical_day,spv_mountain,CH,seseth,GW,typical-day,01.02.2050 00:00,0
cross202209,abroad-together,reference,electricity_supply_typical_day,wind,CH,seseth,GW,typical-day,01.02.2050 00:00,0
cross202209,abroad-together,reference,electricity_supply_typical_day,geothermal_pp,CH,seseth,GW,typical-day,01.02.2050 00:00,0
cross202209,abroad-together,reference,electricity_supply_typical_day,imports,CH,seseth,GW,typical-day,01.02.2050 00:00,2.0290933
cross202209,abroad-together,reference,electricity_supply_typical_day,battery_out,CH,seseth,GW,typical-day,01.02.2050 00:00,0
cross202209,abroad-together,reference,electricity_supply_typical_day,phs_out,CH,seseth,GW,typical-day,01.02.2050 00:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,elec_appliances,CH,seseth,GW,typical-day,01.02.2050 01:00,2.6353898
cross202209,abroad-together,reference,electricity_consumption_typical_day,elec_appliances,CH,seseth,GW,typical-day,01.02.2050 02:00,2.5121477
cross202209,abroad-together,reference,electricity_consumption_typical_day,elec_appliances,CH,seseth,GW,typical-day,01.02.2050 03:00,2.487471
cross202209,abroad-together,reference,electricity_consumption_typical_day,elec_appliances,CH,seseth,GW,typical-day,01.02.2050 04:00,2.5105622
cross202209,abroad-together,reference,electricity_consumption_typical_day,elec_appliances,CH,seseth,GW,typical-day,01.02.2050 05:00,3.0986743
cross202209,abroad-together,reference,electricity_consumption_typical_day,elec_appliances,CH,seseth,GW,typical-day,01.02.2050 06:00,3.7785351
cross202209,abroad-together,reference,electricity_consumption_typical_day,elec_appliances,CH,seseth,GW,typical-day,01.02.2050 07:00,4.415186
cross202209,abroad-together,reference,electricity_consumption_typical_day,elec_appliances,CH,seseth,GW,typical-day,01.02.2050 08:00,4.670866
cross202209,abroad-together,reference,electricity_consumption_typical_day,elec_appliances,CH,seseth,GW,typical-day,01.02.2050 09:00,4.93692
cross202209,abroad-together,reference,electricity_consumption_typical_day,elec_appliances,CH,seseth,GW,typical-day,01.02.2050 10:00,5.1332893
cross202209,abroad-together,reference,electricity_consumption_typical_day,elec_appliances,CH,seseth,GW,typical-day,01.02.2050 11:00,5.7825613
cross202209,abroad-together,reference,electricity_consumption_typical_day,elec_appliances,CH,seseth,GW,typical-day,01.02.2050 12:00,5.6185555
cross202209,abroad-together,reference,electricity_consumption_typical_day,elec_appliances,CH,seseth,GW,typical-day,01.02.2050 13:00,5.018701
cross202209,abroad-together,reference,electricity_consumption_typical_day,elec_appliances,CH,seseth,GW,typical-day,01.02.2050 14:00,4.807785
cross202209,abroad-together,reference,electricity_consumption_typical_day,elec_appliances,CH,seseth,GW,typical-day,01.02.2050 15:00,4.722953
cross202209,abroad-together,reference,electricity_consumption_typical_day,elec_appliances,CH,seseth,GW,typical-day,01.02.2050 16:00,4.735253
